[Arrive Time: 1370, Sorting Time: 112, Direct Treasury: 0, Priority: 1, Desk: C, Desk Time:446, Treasury: 1, Treasury Time: 30, Repeat: 1, Waiting: 0
, Arrive Time: 13014, Sorting Time: 27, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:562, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 13210, Sorting Time: 95, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:654, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 13237, Sorting Time: 54, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:444, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 13362, Sorting Time: 28, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 90, Repeat: 0, Waiting: 0
, Arrive Time: 13384, Sorting Time: 98, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:362, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 13517, Sorting Time: 118, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:269, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 13563, Sorting Time: 63, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:1155, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 14029, Sorting Time: 83, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 102, Repeat: 0, Waiting: 0
, Arrive Time: 14405, Sorting Time: 157, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:695, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 14443, Sorting Time: 24, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 10, Repeat: 0, Waiting: 0
, Arrive Time: 14504, Sorting Time: 45, Direct Treasury: 0, Priority: 1, Desk: B, Desk Time:717, Treasury: 1, Treasury Time: 25, Repeat: 0, Waiting: 0
, Arrive Time: 14539, Sorting Time: 79, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:269, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 14606, Sorting Time: 118, Direct Treasury: 0, Priority: 1, Desk: C, Desk Time:681, Treasury: 1, Treasury Time: 80, Repeat: 0, Waiting: 0
, Arrive Time: 14939, Sorting Time: 42, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:1750, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 15262, Sorting Time: 26, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:685, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 15397, Sorting Time: 43, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 122, Repeat: 0, Waiting: 0
, Arrive Time: 15444, Sorting Time: 32, Direct Treasury: 1, Priority: 1, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 11, Repeat: 0, Waiting: 0
, Arrive Time: 15531, Sorting Time: 96, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:251, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 15962, Sorting Time: 117, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:374, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 15987, Sorting Time: 53, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:757, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 16198, Sorting Time: 80, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:184, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 16252, Sorting Time: 105, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:574, Treasury: 1, Treasury Time: 129, Repeat: 1, Waiting: 0
, Arrive Time: 16381, Sorting Time: 95, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:180, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 16434, Sorting Time: 29, Direct Treasury: 0, Priority: 1, Desk: B, Desk Time:523, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 16683, Sorting Time: 25, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:36, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 16865, Sorting Time: 41, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:521, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 16913, Sorting Time: 13, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:685, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 17055, Sorting Time: 68, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:711, Treasury: 1, Treasury Time: 29, Repeat: 0, Waiting: 0
, Arrive Time: 17135, Sorting Time: 48, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 106, Repeat: 0, Waiting: 0
, Arrive Time: 17161, Sorting Time: 101, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:353, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 17407, Sorting Time: 7, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 45, Repeat: 0, Waiting: 0
, Arrive Time: 17589, Sorting Time: 24, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:340, Treasury: 1, Treasury Time: 110, Repeat: 1, Waiting: 0
, Arrive Time: 17681, Sorting Time: 94, Direct Treasury: 0, Priority: 1, Desk: B, Desk Time:527, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 17731, Sorting Time: 19, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:883, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 17749, Sorting Time: 119, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:659, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 17784, Sorting Time: 18, Direct Treasury: 0, Priority: 1, Desk: C, Desk Time:310, Treasury: 1, Treasury Time: 110, Repeat: 0, Waiting: 0
, Arrive Time: 17929, Sorting Time: 100, Direct Treasury: 0, Priority: 1, Desk: B, Desk Time:361, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 18552, Sorting Time: 43, Direct Treasury: 0, Priority: 1, Desk: C, Desk Time:795, Treasury: 1, Treasury Time: 113, Repeat: 0, Waiting: 0
, Arrive Time: 18616, Sorting Time: 20, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:866, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 18702, Sorting Time: 117, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:471, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 18717, Sorting Time: 20, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 23, Repeat: 0, Waiting: 0
, Arrive Time: 18742, Sorting Time: 20, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:410, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 18750, Sorting Time: 20, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:481, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 18761, Sorting Time: 15, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:981, Treasury: 1, Treasury Time: 76, Repeat: 0, Waiting: 0
, Arrive Time: 18782, Sorting Time: 18, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:705, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 19060, Sorting Time: 50, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:619, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 19230, Sorting Time: 33, Direct Treasury: 0, Priority: 1, Desk: B, Desk Time:234, Treasury: 1, Treasury Time: 77, Repeat: 0, Waiting: 0
, Arrive Time: 19426, Sorting Time: 85, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:921, Treasury: 1, Treasury Time: 93, Repeat: 1, Waiting: 0
, Arrive Time: 19437, Sorting Time: 37, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:130, Treasury: 1, Treasury Time: 55, Repeat: 0, Waiting: 0
, Arrive Time: 19634, Sorting Time: 47, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:373, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 19719, Sorting Time: 2, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:703, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 19734, Sorting Time: 45, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:593, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 19786, Sorting Time: 70, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:499, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 19907, Sorting Time: 105, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 116, Repeat: 0, Waiting: 0
, Arrive Time: 19983, Sorting Time: 82, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:983, Treasury: 1, Treasury Time: 48, Repeat: 0, Waiting: 0
, Arrive Time: 20201, Sorting Time: 5, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:587, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 20217, Sorting Time: 179, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:1740, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 20300, Sorting Time: 33, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:897, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 20340, Sorting Time: 92, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 19, Repeat: 0, Waiting: 0
, Arrive Time: 20958, Sorting Time: 40, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:1118, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 20973, Sorting Time: 119, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:877, Treasury: 1, Treasury Time: 172, Repeat: 0, Waiting: 0
, Arrive Time: 21215, Sorting Time: 114, Direct Treasury: 0, Priority: 1, Desk: B, Desk Time:26, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 21284, Sorting Time: 83, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:447, Treasury: 1, Treasury Time: 83, Repeat: 0, Waiting: 0
, Arrive Time: 21329, Sorting Time: 152, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 75, Repeat: 0, Waiting: 0
, Arrive Time: 21347, Sorting Time: 25, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:257, Treasury: 1, Treasury Time: 76, Repeat: 1, Waiting: 0
, Arrive Time: 21350, Sorting Time: 83, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:1086, Treasury: 1, Treasury Time: 115, Repeat: 1, Waiting: 0
, Arrive Time: 21478, Sorting Time: 96, Direct Treasury: 0, Priority: 1, Desk: B, Desk Time:391, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 22106, Sorting Time: 42, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:304, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 22204, Sorting Time: 23, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:616, Treasury: 1, Treasury Time: 7, Repeat: 0, Waiting: 0
, Arrive Time: 22314, Sorting Time: 169, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:526, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 22393, Sorting Time: 49, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:502, Treasury: 1, Treasury Time: 133, Repeat: 0, Waiting: 0
, Arrive Time: 22695, Sorting Time: 118, Direct Treasury: 0, Priority: 1, Desk: A, Desk Time:66, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 22742, Sorting Time: 28, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:836, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 22760, Sorting Time: 47, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:536, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 22896, Sorting Time: 84, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:850, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 22960, Sorting Time: 26, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:955, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 23350, Sorting Time: 50, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 79, Repeat: 0, Waiting: 0
, Arrive Time: 23373, Sorting Time: 109, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:269, Treasury: 1, Treasury Time: 116, Repeat: 0, Waiting: 0
, Arrive Time: 23733, Sorting Time: 56, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:625, Treasury: 1, Treasury Time: 61, Repeat: 0, Waiting: 0
, Arrive Time: 23868, Sorting Time: 138, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:1576, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 23909, Sorting Time: 62, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 59, Repeat: 0, Waiting: 0
, Arrive Time: 24122, Sorting Time: 99, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:245, Treasury: 1, Treasury Time: 63, Repeat: 0, Waiting: 0
, Arrive Time: 24204, Sorting Time: 50, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:353, Treasury: 1, Treasury Time: 91, Repeat: 0, Waiting: 0
, Arrive Time: 24325, Sorting Time: 61, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:1091, Treasury: 1, Treasury Time: 116, Repeat: 0, Waiting: 0
, Arrive Time: 24363, Sorting Time: 100, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:736, Treasury: 1, Treasury Time: 33, Repeat: 0, Waiting: 0
, Arrive Time: 24451, Sorting Time: 58, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:735, Treasury: 1, Treasury Time: 107, Repeat: 1, Waiting: 0
, Arrive Time: 24458, Sorting Time: 58, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:436, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 24787, Sorting Time: 123, Direct Treasury: 0, Priority: 1, Desk: A, Desk Time:771, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 25089, Sorting Time: 49, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:428, Treasury: 1, Treasury Time: 14, Repeat: 0, Waiting: 0
, Arrive Time: 25103, Sorting Time: 86, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:161, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 25419, Sorting Time: 24, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:377, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 25932, Sorting Time: 49, Direct Treasury: 0, Priority: 1, Desk: C, Desk Time:749, Treasury: 1, Treasury Time: 68, Repeat: 1, Waiting: 0
, Arrive Time: 26092, Sorting Time: 89, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:341, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 26136, Sorting Time: 9, Direct Treasury: 0, Priority: 1, Desk: A, Desk Time:388, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 26543, Sorting Time: 1, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:423, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 26648, Sorting Time: 33, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:390, Treasury: 1, Treasury Time: 25, Repeat: 1, Waiting: 0
, Arrive Time: 27110, Sorting Time: 35, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:311, Treasury: 1, Treasury Time: 6, Repeat: 0, Waiting: 0
, Arrive Time: 27300, Sorting Time: 12, Direct Treasury: 0, Priority: 1, Desk: A, Desk Time:302, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 27381, Sorting Time: 1, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:32, Treasury: 1, Treasury Time: 61, Repeat: 1, Waiting: 0
, Arrive Time: 27433, Sorting Time: 129, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:782, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 27461, Sorting Time: 46, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:864, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 28120, Sorting Time: 86, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:785, Treasury: 1, Treasury Time: 89, Repeat: 0, Waiting: 0
, Arrive Time: 28514, Sorting Time: 70, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:637, Treasury: 1, Treasury Time: 12, Repeat: 1, Waiting: 0
]
1: 1370 2: 10000000 3:10000000 4:10000000 5:10000000 6:10000000 7:10000000 8:10000000
Clock: 1370

1: 1386 2: 1482 3:10000000 4:10000000 5:10000000 6:10000000 7:10000000 8:10000000
Clock: 1386

1: 1961 2: 1482 3:10000000 4:10000000 5:10000000 6:10000000 7:10000000 8:10000000
Clock: 1482

1: 1961 2: 1533 3:10000000 4:10000000 5:10000000 6:10000000 7:1216 8:10000000
Clock: 1216

1: 1961 2: 1533 3:10000000 4:10000000 5:10000000 6:10000000 7:10000000 8:1246
Clock: 1246

1: 1961 2: 1533 3:10000000 4:10000000 5:10000000 6:10000000 7:10000000 8:10000000
Clock: 1533

1: 1961 2: 10000000 3:10000000 4:10000000 5:2139 6:10000000 7:1713 8:10000000
Clock: 1713

Client exits the system Arrive Time: 1246, Sorting Time: 112, Direct Treasury: 0, Priority: 1, Desk: C, Desk Time:180, Treasury: 0, Treasury Time: 30, Repeat: -1, Waiting: 175

1: 1961 2: 10000000 3:10000000 4:10000000 5:2139 6:10000000 7:10000000 8:10000000
Clock: 1961

1: 2460 2: 1967 3:10000000 4:10000000 5:2139 6:10000000 7:10000000 8:10000000
Clock: 1967

1: 2460 2: 10000000 3:10000000 4:10000000 5:2139 6:2483 7:10000000 8:10000000
Clock: 2139

1: 2460 2: 10000000 3:10000000 4:10000000 5:10000000 6:2483 7:10000000 8:2212
Clock: 2212

Client exits the system Arrive Time: 1386, Sorting Time: 51, Direct Treasury: 0, Priority: 1, Desk: B, Desk Time:606, Treasury: 1, Treasury Time: 73, Repeat: 0, Waiting: 96

1: 2460 2: 10000000 3:10000000 4:10000000 5:10000000 6:2483 7:10000000 8:10000000
Clock: 2460

1: 2631 2: 2470 3:10000000 4:10000000 5:10000000 6:2483 7:10000000 8:10000000
Clock: 2470

1: 2631 2: 10000000 3:10000000 4:10000000 5:10000000 6:2483 7:3331 8:10000000
Clock: 2483

1: 2631 2: 10000000 3:10000000 4:10000000 5:10000000 6:10000000 7:3331 8:2495
Clock: 2495

Client exits the system Arrive Time: 1961, Sorting Time: 6, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:516, Treasury: 1, Treasury Time: 12, Repeat: 0, Waiting: 0

1: 2631 2: 10000000 3:10000000 4:10000000 5:10000000 6:10000000 7:3331 8:10000000
Clock: 2631

1: 2695 2: 2638 3:10000000 4:10000000 5:10000000 6:10000000 7:3331 8:10000000
Clock: 2638

1: 2695 2: 10000000 3:3461 4:10000000 5:10000000 6:10000000 7:3331 8:10000000
Clock: 2695

1: 2895 2: 2730 3:3461 4:10000000 5:10000000 6:10000000 7:3331 8:10000000
Clock: 2730

1: 2895 2: 10000000 3:3461 4:10000000 5:10000000 6:10000000 7:3331 8:2847
Clock: 2847

Client exits the system Arrive Time: 2695, Sorting Time: 35, Direct Treasury: 1, Priority: 1, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 117, Repeat: 0, Waiting: 0

1: 2895 2: 10000000 3:3461 4:10000000 5:10000000 6:10000000 7:3331 8:10000000
Clock: 2895

1: 2919 2: 2964 3:3461 4:10000000 5:10000000 6:10000000 7:3331 8:10000000
Clock: 2919

1: 3183 2: 2964 3:3461 4:10000000 5:10000000 6:10000000 7:3331 8:10000000
Clock: 2964

